No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,0000,2.483011,1,0.0,0.0025,36,COBYLA
4,2,2,True,0111,4.035867,2,-0.51,-3.1422,63,COBYLA
4,2,2,True,1101,8.81551,3,-0.62,-3.5232,135,COBYLA
4,2,2,True,1101,11.49413,4,-0.62,-3.5291,144,COBYLA
4,2,2,True,1101,11.460469,5,-0.62,-3.5379,174,COBYLA
4,2,2,True,1111,7.016882,1,0.0,-1.68,111,Powell
4,2,2,True,0111,57.983496,2,-0.51,-3.2055,893,Powell
4,2,2,True,0111,52.932467,3,-0.51,-3.21,806,Powell
4,2,2,True,0111,101.14858,4,-0.51,-3.21,1277,Powell
4,2,2,True,0111,75.212187,5,-0.51,-3.21,1102,Powell
4,2,2,False,0000,5.057492,1,0.0,0.0099,79,CG
4,2,2,False,0111,11.787081,2,-0.51,-2.3974,173,CG
4,2,2,False,1011,17.245893,3,1.46,0.8664,253,CG
4,2,2,False,1100,32.847114,4,0.07,0.7296,483,CG
4,2,2,False,1000,28.320022,5,-0.51,0.4468,412,CG
4,2,2,False,0000,6.18123,1,0.0,0.0062,95,BFGS
4,2,2,False,0111,11.169051,2,-0.51,-2.407,166,BFGS
4,2,2,False,1011,18.349336,3,1.46,0.8659,272,BFGS
4,2,2,False,1100,26.486627,4,0.07,0.7276,388,BFGS
4,2,2,False,1000,27.8637,5,-0.51,0.4531,411,BFGS
4,2,2,True,0000,5.848772,1,0.0,0.0173,92,L-BFGS-B
4,2,2,True,0111,14.483529,2,-0.51,-2.3903,217,L-BFGS-B
4,2,2,True,1011,19.534149,3,1.46,0.8943,290,L-BFGS-B
4,2,2,True,1100,26.500419,4,0.07,0.743,390,L-BFGS-B
4,2,2,False,1000,22.983263,5,-0.51,0.4544,336,L-BFGS-B
4,2,2,True,0000,10.369399,1,0.0,0.1395,155,SLSQP
4,2,2,True,0000,129.080091,2,0.0,0.1094,476,SLSQP
