No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,0000,2.64567,1,0.0,0.309,39,COBYLA
4,2,2,True,0100,5.604147,2,-1.86,-1.4093,81,COBYLA
4,2,2,True,1011,7.934246,3,-1.86,-5.5245,102,COBYLA
4,2,2,True,1011,10.463885,4,-1.86,-5.2603,157,COBYLA
4,2,2,True,1011,11.840113,5,-1.86,-5.6427,177,COBYLA
4,2,2,True,1111,8.246788,1,0.0,-0.08,126,Powell
4,2,2,True,0011,20.669344,2,0.12,-2.1144,317,Powell
4,2,2,True,1011,60.048202,3,-1.86,-5.6584,780,Powell
4,2,2,True,1011,79.239231,4,-1.86,-5.6542,1135,Powell
4,2,2,True,1011,95.853005,5,-1.86,-5.6587,1387,Powell
4,2,2,False,0000,5.432395,1,0.0,-0.0097,86,CG
4,2,2,False,0111,12.139496,2,0.0,0.3763,180,CG
4,2,2,False,1011,19.542506,3,-1.86,-1.4445,252,CG
4,2,2,False,1100,23.761803,4,0.12,0.6089,350,CG
4,2,2,False,1000,19.196371,5,0.0,-0.597,284,CG
4,2,2,False,0000,6.852725,1,0.0,-0.0105,108,BFGS
4,2,2,False,0111,12.241778,2,0.0,0.3475,186,BFGS
4,2,2,False,1011,19.677395,3,-1.86,-1.4502,252,BFGS
4,2,2,False,1100,21.093072,4,0.12,0.6098,311,BFGS
4,2,2,False,1000,31.087921,5,0.0,-0.5883,452,BFGS
4,2,2,True,0000,4.947136,1,0.0,-0.0093,76,L-BFGS-B
4,2,2,True,0111,11.444927,2,0.0,0.4136,168,L-BFGS-B
4,2,2,True,1011,20.894448,3,-1.86,-1.3739,260,L-BFGS-B
4,2,2,True,1100,71.661169,4,0.12,0.6148,364,L-BFGS-B
4,2,2,False,1000,73.896774,5,0.0,-0.5865,336,L-BFGS-B
4,2,2,True,1111,42.00426,1,0.0,-0.0784,197,SLSQP
4,2,2,True,0000,281.932209,2,0.0,0.0181,443,SLSQP
4,2,2,True,1001,182.187029,3,0.04,0.7483,841,SLSQP
4,2,2,True,0110,264.835285,4,0.04,0.0137,1220,SLSQP
4,2,2,True,1011,452.255338,5,-1.86,-3.5633,2081,SLSQP
16,4,4,True,1111111111111111,15.947264,1,0.0,-15.4994,62,COBYLA
16,4,4,True,1111111111111111,30.318057,2,0.0,-14.3913,114,COBYLA
16,4,4,True,1111111011111111,43.302628,3,0.74,-13.0412,163,COBYLA
16,4,4,True,1111110111110011,60.065467,4,0.71,-13.5112,224,COBYLA
16,4,4,True,0011110111110111,90.476361,5,-0.18,-17.4619,338,COBYLA
16,4,4,True,1111111111111111,14.497158,1,0.0,100000.0,56,Powell
16,4,4,True,1011111111111111,142.397485,2,-0.53,-15.5665,538,Powell
16,4,4,True,1111111111111111,124.532615,3,0.0,-12.3474,475,Powell
16,4,4,True,1111110111111111,582.295378,4,-0.68,-17.0395,2179,Powell
16,4,4,True,1011111111110111,934.792855,5,-0.88,-16.8967,3468,Powell
16,4,4,False,0000000000000000,1.56906,1,0.0,0.0,6,CG
16,4,4,False,1111111100000000,58.501743,2,1.54,-0.4157,221,CG
16,4,4,False,1111000010100000,109.282819,3,6.55,4.4451,411,CG
16,4,4,False,0100101110111000,89.94449,4,2.67,-0.8002,516,CG
16,4,4,False,1110011110111010,62.985564,5,6.8,1.3039,740,CG
16,4,4,False,0000000000000000,0.514518,1,0.0,0.0,6,BFGS
16,4,4,False,1111111100000000,29.931664,2,1.54,-0.4769,355,BFGS
16,4,4,False,1111000010100000,47.236143,3,6.55,4.4164,558,BFGS
16,4,4,False,0100101110111000,65.729973,4,2.67,-0.7165,777,BFGS
16,4,4,False,1110011110111000,83.986442,5,5.25,1.2793,980,BFGS
16,4,4,False,0000000000000000,0.533059,1,0.0,0.0,6,L-BFGS-B
16,4,4,True,1111111100000000,27.883026,2,1.54,0.2678,330,L-BFGS-B
16,4,4,True,1111000010100000,32.717316,3,6.55,4.5908,384,L-BFGS-B
16,4,4,True,0100101110111000,51.983125,4,2.67,-0.1246,609,L-BFGS-B
16,4,4,True,1110001110111010,56.049877,5,6.2,1.5567,650,L-BFGS-B
16,4,4,False,0000000000000000,0.533708,1,0.0,0.0,6,SLSQP
16,4,4,True,1111111111111111,10.066405,2,0.0,-15.1449,118,SLSQP
16,4,4,True,1111110111111111,25.500103,3,-0.68,-15.0013,301,SLSQP
16,4,4,True,0000011000100101,32.300102,4,6.0,4.2757,378,SLSQP
16,4,4,True,0000111000010100,358.569203,5,5.7,3.9536,4177,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.514396,1,0.0,0.0,43,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,8.838363,2,0.0,0.0,85,COBYLA
64,8,8,True,1111101111111111111111111111111111111111111111111111111110111111,16.280698,3,0.44,-58.0931,156,COBYLA
64,8,8,True,0111110111111111111111111011000000000000000000001000001000100000,27.56426,4,12.16,-21.2818,265,COBYLA
64,8,8,True,0000111001111010000111001111100111111111111111111111111101111010,45.601041,5,5.11,-69.3102,432,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.282375,1,0.0,0.0,22,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.477244,2,0.0,0.0,43,Powell
64,8,8,True,1111111111111111111111111111111111111111111111111111111111111111,136.440021,3,0.0,-99.2102,1294,Powell
64,8,8,True,1110111111001111111111111111111111110011111100110000110000000000,307.26772,4,12.42,-48.3209,2886,Powell
64,8,8,True,1111111011111111110111101111111111111111111111111111111111111111,538.947649,5,3.59,-80.6541,5029,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.816916,1,0.0,0.0,8,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.65258,2,0.0,0.0,15,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.297603,3,0.0,0.0,22,CG
64,8,8,False,0100010110101101011100001100000000000001000000000000000000010000,115.350386,4,15.14,8.7275,1112,CG
64,8,8,False,0010000000000010001011000010000011111110011111110111111101101010,96.367225,5,10.8,-24.3103,911,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.831167,1,0.0,0.0,8,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.621102,2,0.0,0.0,15,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.281189,3,0.0,0.0,22,BFGS
64,8,8,False,0000010111001101011100001100000000000001000000000000000000010000,97.399637,4,13.97,8.5863,940,BFGS
64,8,8,False,0010001000000010001011000010100011111110011111110111111101101010,119.181515,5,10.3,-24.383,1128,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.83348,1,0.0,0.0,8,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.633584,2,0.0,0.0,15,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.318205,3,0.0,0.0,22,L-BFGS-B
64,8,8,False,0110010110101101011100001000000000000001000000000000000000010000,63.081419,4,16.71,9.9213,609,L-BFGS-B
64,8,8,False,0010001000000010001011000010000011111110011111110111111101101010,79.883375,5,9.18,100000.0,756,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.833296,1,0.0,0.0,8,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.599785,2,0.0,0.0,15,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.3026,3,0.0,0.0,22,SLSQP
64,8,8,True,1001111100110111100000000100000001001001001101100111111111111110,7.100292,4,16.42,100000.0,68,SLSQP
64,8,8,True,0110110011100010011111011111111111001111001110001111110111111101,243.64771,5,20.28,-17.1065,2316,SLSQP
