No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,0000,1.430176,1,0.0,0.0,19,COBYLA
4,2,2,True,1100,3.180192,2,-1.16,-1.16,46,COBYLA
4,2,2,True,1100,4.347735,3,-1.16,-1.16,60,COBYLA
4,2,2,True,1100,5.294605,4,-1.16,-1.16,77,COBYLA
4,2,2,True,0011,7.036342,5,-1.16,-1.16,96,COBYLA
4,2,2,True,1111,0.63486,1,0.0,0.0,10,Powell
4,2,2,True,1100,12.387237,2,-1.16,-1.16,182,Powell
4,2,2,True,1100,34.418735,3,-1.16,-1.16,494,Powell
4,2,2,True,0011,13.104824,4,-1.16,-1.16,187,Powell
4,2,2,True,0011,38.88699,5,-1.16,-1.16,555,Powell
4,2,2,True,0000,0.247794,1,0.0,0.0,4,CG
4,2,2,False,1101,13.232411,2,-0.66,-0.66,203,CG
4,2,2,True,0011,0.664567,3,-1.16,-1.16,10,CG
4,2,2,True,1100,0.891035,4,-1.16,-1.16,13,CG
4,2,2,True,1000,1.116699,5,-0.05,-0.05,16,CG
4,2,2,True,0000,0.272299,1,0.0,0.0,4,BFGS
4,2,2,True,0111,0.469773,2,-0.05,-0.05,7,BFGS
4,2,2,True,0011,0.641418,3,-1.16,-1.16,10,BFGS
4,2,2,True,1100,0.915271,4,-1.16,-1.16,13,BFGS
4,2,2,True,1000,1.217657,5,-0.05,-0.05,16,BFGS
4,2,2,True,0000,0.268121,1,0.0,0.0,4,L-BFGS-B
4,2,2,False,1101,9.512365,2,-0.66,-0.66,147,L-BFGS-B
4,2,2,True,1011,0.951479,3,0.85,0.85,10,L-BFGS-B
4,2,2,True,1100,0.913536,4,-1.16,-1.16,13,L-BFGS-B
4,2,2,True,1000,1.100996,5,-0.05,-0.05,16,L-BFGS-B
4,2,2,True,0000,0.265445,1,0.0,0.0,4,SLSQP
4,2,2,True,0111,0.483684,2,-0.05,-0.05,7,SLSQP
4,2,2,True,1011,1.833371,3,0.85,0.85,21,SLSQP
4,2,2,True,1100,0.967122,4,-1.16,-1.16,13,SLSQP
4,2,2,True,1100,1.066073,5,-1.16,-1.16,16,SLSQP
16,4,4,True,1111111111111111,2.635787,1,0.0,0.0,31,COBYLA
16,4,4,True,0000000000000000,5.482016,2,0.0,0.0,66,COBYLA
16,4,4,True,1111000001000000,11.000359,3,-1.14,-1.14,130,COBYLA
16,4,4,True,1100000001110011,12.857117,4,0.42,0.42,149,COBYLA
16,4,4,True,1100000011000000,13.992033,5,-1.14,-1.14,161,COBYLA
16,4,4,True,0000000001000000,4.545375,1,-3.05,0.0,53,Powell
16,4,4,True,0000000001000000,42.778648,2,-3.05,-3.05,506,Powell
16,4,4,True,0100000001000000,436.88239,3,-3.57,-3.57,1609,Powell
16,4,4,True,1011111110111111,111.722828,4,-3.57,2.54,1294,Powell
16,4,4,True,1011111110111111,185.994795,5,-3.57,-3.57,2101,Powell
16,4,4,False,0100000001000000,16.872805,1,-3.57,-0.64,197,CG
16,4,4,True,0000000000000000,7.913628,2,0.0,0.0,11,CG
16,4,4,True,0000111011100000,1.389262,3,4.51,4.51,16,CG
16,4,4,False,0011101110110001,49.504046,4,2.73,4.06,567,CG
16,4,4,True,1011001110111111,82.415139,5,0.76,3.38,936,CG
16,4,4,True,0000000000000000,0.503454,1,0.0,0.0,6,BFGS
16,4,4,True,1111111111111111,0.946327,2,0.0,0.0,11,BFGS
16,4,4,False,1010110011000001,28.835671,3,2.45,2.45,332,BFGS
16,4,4,False,0100101110111100,49.150249,4,3.73,4.32,558,BFGS
16,4,4,False,0100000111111111,55.522742,5,2.11,7.72,636,BFGS
16,4,4,True,1111111111111111,0.515907,1,0.0,0.0,6,L-BFGS-B
16,4,4,True,1111111111111111,8.149887,2,0.0,0.0,11,L-BFGS-B
16,4,4,True,1100111110111100,32.142346,3,0.24,2.64,368,L-BFGS-B
16,4,4,True,0100101110111000,31.332575,4,4.32,4.32,357,L-BFGS-B
16,4,4,True,1110001110111000,55.096741,5,4.23,4.15,624,L-BFGS-B
16,4,4,False,0000000000000000,0.510823,1,0.0,0.0,6,SLSQP
16,4,4,True,0000000001000000,6.605671,2,-3.05,2.47,74,SLSQP
16,4,4,True,1111000010100000,1.401129,3,5.25,5.25,16,SLSQP
16,4,4,True,1011111100100000,1.893121,4,1.34,1.34,21,SLSQP
16,4,4,True,1100110110111111,25.238612,5,-0.1,3.36,278,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.618711,1,0.0,0.0,43,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,8.92891,2,0.0,0.0,85,COBYLA
64,8,8,True,1111111111111111011111111111011111111111111111110101000000000000,100.287109,3,1.71,100000.0,182,COBYLA
64,8,8,True,0000111100001111111100001101000000000000000000000000000000000000,27.986312,4,0.54,0.54,264,COBYLA
64,8,8,True,0000000001000000010000000110000011111111111110111111111110111111,64.713635,5,1.27,1.27,314,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.440242,1,0.0,0.0,22,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.518729,2,0.0,0.0,43,Powell
64,8,8,True,0000000000000000000000000000000000000000000010000000000000000000,694.260117,3,-0.68,100000.0,1224,Powell
64,8,8,True,0100000001010000001101001100010000100000000000000000000000000000,100.414695,4,5.89,-1.08,947,Powell
64,8,8,True,1011111011111111111111111111101100000000000000000000000000000000,411.95474,5,5.0,3.42,1115,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.86809,1,0.0,0.0,8,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.918033,2,0.0,0.0,15,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,11.579512,3,0.0,0.0,22,CG
64,8,8,False,0100010110101101011100001100000000000001000000000000000000010000,26.299479,4,13.69,12.08,244,CG
64,8,8,False,0010001000000010001011000010100011111110011111110111111101101010,212.684098,5,16.97,16.97,1092,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.579158,1,0.0,0.0,8,BFGS
64,8,8,False,1111111111111001111111111111111111111111111111111111111111111111,46.067232,2,5.25,5.25,312,BFGS
64,8,8,False,0000000011000100011100110000111111111110111111111011110011110000,66.146674,3,11.81,10.01,452,BFGS
64,8,8,False,1010001101100011011000001110001011111110111111100000000000000000,76.835272,4,11.18,10.62,719,BFGS
64,8,8,False,1100100101010011100100101111110111110101011000111001110000000000,138.745972,5,23.12,22.84,948,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.144507,1,0.0,0.0,8,L-BFGS-B
64,8,8,False,1111111111111111111111111111111111111111111111111111111111111111,66.467856,2,0.0,100000.0,315,L-BFGS-B
64,8,8,True,0000000000000000001000000000000011111111110110111111011111111111,40.599338,3,3.53,4.06,286,L-BFGS-B
64,8,8,False,1111101111111111110111100101010011011010001100001010000010100101,65.00047,4,16.96,20.42,609,L-BFGS-B
64,8,8,True,1101001110110001000010100110110011111111011000110100000000000100,103.052393,5,11.48,15.2,612,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.136319,1,0.0,0.0,8,SLSQP
64,8,8,True,1111111111111111111111111111111100001000111111111111111111111111,8.421866,2,3.19,100000.0,40,SLSQP
64,8,8,True,1010111111111111010000000000000010000010111010111111111100010000,21.68814,3,14.86,100000.0,150,SLSQP
64,8,8,True,0100000011000000110011110111001110110100000001000011000000111111,155.23411,4,9.38,9.38,1069,SLSQP
64,8,8,True,0000011000000011001100000011110100001000001000110111001111111010,115.128711,5,16.85,16.85,784,SLSQP
