No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,1101,0.355554,-0.66,1.245,26,COBYLA
4,2,2,True,1001,0.066326,0.19,2.095,5,CG
4,2,2,True,1001,0.068661,0.19,2.095,5,BFGS
4,2,2,True,1001,0.064814,0.19,2.095,5,L-BFGS-B
4,2,2,True,1001,0.072941,0.19,2.095,5,SLSQP
16,4,4,True,1101111101110011,8.539342,1.6,2.0437,115,COBYLA
16,4,4,True,1001101110010001,1.217135,6.93,3.3762,17,CG
16,4,4,True,1001101110010001,1.231549,6.93,3.3762,17,BFGS
16,4,4,True,1001101110010001,1.262222,6.93,3.3762,17,L-BFGS-B
16,4,4,True,1001101110010001,1.201581,6.93,3.3762,17,SLSQP
4,2,2,True,1100,0.452916,-1.16,0.745,96,Powell
4,2,2,True,1001,0.246084,0.19,2.095,77,Nelder-Mead
4,2,2,True,0011,5.71652,-1.16,0.745,1987,Genetic
16,4,4,True,1011111110111111,8.254053,-3.57,0.7513,526,Powell
16,4,4,True,1001100110010001,3.829056,5.04,2.9037,233,Nelder-Mead
16,4,4,True,1011111110111111,30.434381,-3.57,0.7513,1950,Genetic
