No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,0000,2.165846,1,0.0,0.0,33,COBYLA
4,2,2,True,1111,5.319847,2,0.0,-1.6782,80,COBYLA
4,2,2,True,1100,8.180762,3,-1.2,-3.2387,106,COBYLA
4,2,2,True,1100,9.348118,4,-1.2,-3.2235,139,COBYLA
4,2,2,True,1100,10.848844,5,-1.2,-3.2398,159,COBYLA
4,2,2,True,1111,9.06655,1,0.0,-1.68,139,Powell
4,2,2,True,1111,16.518779,2,0.0,-1.68,250,Powell
4,2,2,True,1100,34.529832,3,-1.2,-3.2336,445,Powell
4,2,2,True,1100,56.137189,4,-1.2,-3.2394,831,Powell
4,2,2,True,0011,71.31328,5,-1.2,-3.2398,1056,Powell
4,2,2,False,0000,3.935542,1,0.0,0.0076,62,CG
4,2,2,False,0111,15.271726,2,0.15,-0.5121,229,CG
4,2,2,False,1011,20.003371,3,0.69,-0.0285,261,CG
4,2,2,False,1100,22.001234,4,-1.2,-0.9599,324,CG
4,2,2,False,1000,18.917835,5,0.15,1.0126,277,CG
4,2,2,False,0000,5.9813,1,0.0,0.007,94,BFGS
4,2,2,False,0111,14.935621,2,0.15,-0.5076,224,BFGS
4,2,2,False,1011,17.754053,3,0.69,-0.0395,231,BFGS
4,2,2,False,1100,26.350643,4,-1.2,-0.9881,389,BFGS
4,2,2,False,1000,22.562603,5,0.15,0.9977,332,BFGS
4,2,2,True,0000,6.889391,1,0.0,0.0083,108,L-BFGS-B
4,2,2,True,0111,13.064171,2,0.15,-0.4856,196,L-BFGS-B
4,2,2,False,1011,16.449618,3,0.69,-0.0322,210,L-BFGS-B
4,2,2,False,1100,18.464445,4,-1.2,-0.9677,273,L-BFGS-B
4,2,2,False,1000,22.928007,5,0.15,1.0173,336,L-BFGS-B
4,2,2,True,0000,1.184073,1,0.0,100000.0,18,SLSQP
4,2,2,True,0001,170.489406,2,0.69,-0.3815,596,SLSQP
4,2,2,True,1100,37.821945,3,-1.2,-2.5193,561,SLSQP
4,2,2,True,0111,90.029255,4,0.15,-0.8304,1335,SLSQP
4,2,2,True,0011,130.27993,5,-1.2,-2.6315,1925,SLSQP
16,4,4,True,1111111111111111,5.98608,1,0.0,100000.0,71,COBYLA
16,4,4,True,1111111111111111,10.049612,2,0.0,-20.9162,118,COBYLA
16,4,4,True,1111111011111111,17.431819,3,1.23,-18.0162,204,COBYLA
16,4,4,True,0011111111111111,18.933109,4,-1.04,-21.1996,219,COBYLA
16,4,4,True,0011111111111111,26.067316,5,-1.04,-19.6694,302,COBYLA
16,4,4,True,1111111111111111,3.900161,1,0.0,100000.0,46,Powell
16,4,4,True,1111111111111111,38.498747,2,0.0,-20.8277,454,Powell
16,4,4,True,1111000011111111,155.118727,3,0.17,-14.6343,1818,Powell
16,4,4,True,1111111111111111,306.703591,4,0.0,-20.6755,3602,Powell
16,4,4,True,1111001111001111,72.764342,5,0.32,-12.907,841,Powell
16,4,4,False,0000000000000000,0.513797,1,0.0,0.0,6,CG
16,4,4,False,1110111100000000,21.188652,2,2.68,-3.1944,250,CG
16,4,4,False,1111000010100000,35.148506,3,2.08,-3.8287,412,CG
16,4,4,False,0100101110111100,36.763106,4,4.06,-1.8323,430,CG
16,4,4,False,1110001110111010,63.701787,5,3.84,-1.922,740,CG
16,4,4,False,0000000000000000,0.500161,1,0.0,0.0,6,BFGS
16,4,4,False,1110111100000000,9.40453,2,2.68,-2.8775,111,BFGS
16,4,4,False,1111000010100000,31.116535,3,2.08,-3.8809,364,BFGS
16,4,4,False,0100101110111100,59.203578,4,4.06,-1.9233,692,BFGS
16,4,4,False,1110011110111010,56.981923,5,5.89,-2.0213,662,BFGS
16,4,4,False,0000000000000000,0.516923,1,0.0,0.0,6,L-BFGS-B
16,4,4,True,1111111100000000,17.680218,2,1.29,-0.6532,209,L-BFGS-B
16,4,4,True,1111000010100000,32.678885,3,2.08,-3.6758,384,L-BFGS-B
16,4,4,True,0100101110111000,42.967138,4,3.86,-1.762,504,L-BFGS-B
16,4,4,True,1110011110111010,49.2195,5,5.89,-1.8594,572,L-BFGS-B
16,4,4,False,0000000000000000,0.49861,1,0.0,0.0,6,SLSQP
16,4,4,True,0000000011111111,21.200747,2,1.29,-5.1904,252,SLSQP
16,4,4,True,1111010100101010,94.58013,3,5.78,-1.9952,1117,SLSQP
16,4,4,True,1010000000011101,285.452521,4,5.35,3.3537,3349,SLSQP
16,4,4,True,0011010100110101,94.215661,5,5.16,0.5568,1093,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.380155,1,0.0,0.0,43,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,8.836972,2,0.0,0.0,85,COBYLA
64,8,8,True,1111111111111111111111111111111111111111111111111111111110101100,23.71578,3,3.87,-68.7497,227,COBYLA
64,8,8,True,1111111111111111110111110001001100000100111111011101111100010111,32.301128,4,12.19,-47.8809,308,COBYLA
64,8,8,True,1111111111111111111111111111111110000111111111111111111110111111,55.548614,5,-0.38,-95.3732,518,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.236711,1,0.0,0.0,22,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.465997,2,0.0,0.0,43,Powell
64,8,8,True,1111111111111111111111111111011111110111111111111111110101111111,79.401361,3,1.59,-69.0346,761,Powell
64,8,8,True,1111111111111111111111111111001111110110111111110111111111111111,253.965366,4,0.1,-88.9523,2409,Powell
64,8,8,True,1111111111111111111111111011111111110111111111110111111111111111,457.350497,5,-2.83,-103.3012,4279,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.816339,1,0.0,0.0,8,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.633091,2,0.0,0.0,15,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.29935,3,0.0,0.0,22,CG
64,8,8,False,0100010110101101011100001100000000000001000000000000000000010000,94.830215,4,18.15,9.1833,912,CG
64,8,8,False,0010001000000010001011000010100011111110011111110111111101101010,77.399977,5,21.42,-5.1654,732,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.814668,1,0.0,0.0,8,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.598278,2,0.0,0.0,15,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.334236,3,0.0,0.0,22,BFGS
64,8,8,False,0110010110101101011100001100000000000001000000000000000000010000,49.202653,4,17.5,8.8036,475,BFGS
64,8,8,False,0010001000000010001011000010000011111110011111110111111101101010,119.499731,5,18.21,-4.8649,1130,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.832932,1,0.0,0.0,8,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.600983,2,0.0,0.0,15,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.314338,3,0.0,0.0,22,L-BFGS-B
64,8,8,True,0100010110101101011100001100000000000001000000000000000000010000,87.770045,4,18.15,9.4887,841,L-BFGS-B
64,8,8,False,0010001000000010001011000010000011111110011111110111111101101010,83.609733,5,18.21,-2.8094,756,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.024291,1,0.0,0.0,8,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.783562,2,0.0,0.0,15,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.647974,3,0.0,0.0,22,SLSQP
64,8,8,True,0000010011111110111101000000111010000111111111111100010000001110,8.4515,4,14.22,100000.0,79,SLSQP
64,8,8,True,1010001001000101000110110010110110001101111100111111000010111000,15.083713,5,26.96,100000.0,139,SLSQP
