No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,0000,2.230115,1,0.0,0.0053,34,COBYLA
4,2,2,True,1101,4.617721,2,-0.66,-2.1927,69,COBYLA
4,2,2,True,1100,8.630666,3,-1.16,-3.1196,111,COBYLA
4,2,2,True,1100,9.53873,4,-1.16,-3.1134,139,COBYLA
4,2,2,True,1100,13.640651,5,-1.16,-3.1063,201,COBYLA
4,2,2,True,1111,15.900158,1,0.0,-0.3202,244,Powell
4,2,2,True,1100,17.143325,2,-1.16,-3.1198,258,Powell
4,2,2,True,1100,36.003175,3,-1.16,-3.119,500,Powell
4,2,2,True,1100,55.017336,4,-1.16,-3.12,814,Powell
4,2,2,True,1100,111.698304,5,-1.16,-3.1188,1644,Powell
4,2,2,False,0000,6.480659,1,0.0,0.0046,103,CG
4,2,2,False,0111,12.331762,2,-0.05,-0.1758,186,CG
4,2,2,False,1011,18.000052,3,0.85,0.3039,250,CG
4,2,2,False,1100,24.583535,4,-1.16,-1.0063,363,CG
4,2,2,False,1000,27.816589,5,-0.05,0.7941,410,CG
4,2,2,False,0000,6.273896,1,0.0,0.0047,98,BFGS
4,2,2,False,0111,10.050241,2,-0.05,-0.1638,151,BFGS
4,2,2,False,1011,19.450196,3,0.85,0.2923,252,BFGS
4,2,2,False,1100,27.650709,4,-1.16,-1.0126,407,BFGS
4,2,2,False,1000,26.914252,5,-0.05,0.7925,395,BFGS
4,2,2,True,0000,2.86657,1,0.0,0.0054,44,L-BFGS-B
4,2,2,True,0111,14.416678,2,-0.05,-0.1449,217,L-BFGS-B
4,2,2,True,1011,17.599909,3,0.85,0.3179,230,L-BFGS-B
4,2,2,True,1100,20.23377,4,-1.16,-0.9985,299,L-BFGS-B
4,2,2,True,1000,27.066841,5,-0.05,0.8152,400,L-BFGS-B
4,2,2,True,1111,7.583214,1,0.0,100000.0,116,SLSQP
4,2,2,True,1111,88.800536,2,0.0,-0.0446,562,SLSQP
4,2,2,True,1111,52.167876,3,0.0,-0.155,781,SLSQP
4,2,2,True,1100,19.914334,4,-1.16,-1.7287,295,SLSQP
4,2,2,True,0001,102.264791,5,0.24,0.2335,1509,SLSQP
16,4,4,True,1111111111111111,4.889051,1,0.0,-21.6814,58,COBYLA
16,4,4,True,1111111110111111,9.727172,2,-3.05,-24.8881,115,COBYLA
16,4,4,True,1111111111111111,13.019151,3,0.0,-19.0641,153,COBYLA
16,4,4,True,1111111100111100,17.464279,4,1.68,-16.8617,203,COBYLA
16,4,4,True,0011111110111111,22.269606,5,-3.54,-27.762,258,COBYLA
16,4,4,False,0000000000000000,1.397254,1,0.0,0.0,16,Powell
16,4,4,True,1111111110111111,92.819377,2,-3.05,-30.7597,1100,Powell
16,4,4,True,1011111111111111,150.150535,3,-0.52,-22.8259,1762,Powell
16,4,4,True,1011111110111111,222.967803,4,-3.57,-29.6294,2603,Powell
16,4,4,True,1011111110111111,151.007736,5,-3.57,-29.9634,1781,Powell
16,4,4,False,0000000000000000,0.517049,1,0.0,0.0,6,CG
16,4,4,False,1111111100000000,23.283566,2,1.9,-3.3652,275,CG
16,4,4,False,1111000010100000,29.581996,3,5.25,2.7267,348,CG
16,4,4,False,0100101110111000,26.083206,4,4.32,-7.0583,305,CG
16,4,4,False,1110011110111010,47.950523,5,4.15,-6.461,558,CG
16,4,4,False,0000000000000000,0.533466,1,0.0,0.0,6,BFGS
16,4,4,False,1111111100000000,11.09141,2,1.9,-2.9887,132,BFGS
16,4,4,False,1111000010100000,25.533367,3,5.25,2.6449,300,BFGS
16,4,4,False,0100101110111000,47.60009,4,4.32,-7.1907,558,BFGS
16,4,4,False,1110011110111000,65.633787,5,3.37,-6.432,765,BFGS
16,4,4,False,0000000000000000,0.532487,1,0.0,0.0,6,L-BFGS-B
16,4,4,True,1111111100000000,18.651174,2,1.9,-2.7723,220,L-BFGS-B
16,4,4,True,1111000010100000,35.347152,3,5.25,2.7338,416,L-BFGS-B
16,4,4,False,0100101110111100,37.670866,4,3.73,-6.3569,441,L-BFGS-B
16,4,4,True,1110011110111010,84.800094,5,4.15,-5.9644,988,L-BFGS-B
16,4,4,False,0000000000000000,0.522919,1,0.0,0.0,6,SLSQP
16,4,4,True,0000110111110000,16.220203,2,5.64,0.1704,193,SLSQP
16,4,4,True,1111110100101001,31.693565,3,8.86,2.6007,376,SLSQP
16,4,4,True,0000000000000100,90.819837,4,1.41,2.8375,1067,SLSQP
16,4,4,True,1110010101101110,100.411185,5,9.69,6.8606,1167,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.346164,1,0.0,0.0,43,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,8.949811,2,0.0,0.0,85,COBYLA
64,8,8,True,1111111111111111111111111111111111111111111111111111111111111111,16.474659,3,0.0,-57.1335,158,COBYLA
64,8,8,True,1111111111011110111111111111111111111111110011001101110111111111,28.636606,4,5.32,-58.7454,273,COBYLA
64,8,8,True,1111111111011011000000001110000011111111111110111111111111111111,37.533868,5,3.38,-55.2828,351,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.233208,1,0.0,0.0,22,Powell
64,8,8,True,0000000000000000000000000000000000000000000000000000000000000000,11.766564,2,0.0,5.6226,114,Powell
64,8,8,True,1111111111111111111111111111111101111111011111111111111111111111,72.26684,3,2.57,100000.0,694,Powell
64,8,8,True,1001111111111111111111111111111111111111111111111111111111111111,208.050343,4,3.33,100000.0,1964,Powell
64,8,8,True,0000011111111111010001101011011110000011101111111111111111111111,310.119415,5,7.99,-54.8014,2572,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.814134,1,0.0,0.0,8,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.6198,2,0.0,0.0,15,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.300087,3,0.0,0.0,22,CG
64,8,8,False,0110010110101101011100001100000000000001000000000000000000010000,49.399929,4,13.78,8.513,476,CG
64,8,8,False,0010001000000010001011000010100011111110011111110111111101101010,100.299883,5,16.97,-7.4318,948,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.814349,1,0.0,0.0,8,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.577953,2,0.0,0.0,15,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.316792,3,0.0,0.0,22,BFGS
64,8,8,False,0110010110101101011100001100000000000001000000000000000000010000,88.238866,4,13.78,8.1895,852,BFGS
64,8,8,False,0010001000000010001011100010100011111110011111110111111101101010,120.283667,5,17.44,-7.546,1131,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.830639,1,0.0,0.0,8,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.582709,2,0.0,0.0,15,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.302216,3,0.0,0.0,22,L-BFGS-B
64,8,8,True,0000010110101101011100001000000000000001000000000000000000010000,60.15365,4,13.01,8.7192,580,L-BFGS-B
64,8,8,True,0010001000000010001011000010000011111110011111110111111101101010,114.279107,5,18.9,100000.0,1080,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,0.832576,1,0.0,0.0,8,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.600516,2,0.0,0.0,15,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.295807,3,0.0,0.0,22,SLSQP
64,8,8,True,1000111111000111111111111110111111111110010111001010101101111100,163.935557,4,12.97,-22.9781,1569,SLSQP
64,8,8,True,1100111100001010111110010101101000100011011110010000111001101001,470.250539,5,23.36,-4.0072,4459,SLSQP
