No. of Pixels,Height,Width,Result,Execution Time,Min-Cut Cost,Optimizer Method
4,2,2,1101,0.00398,-0.62,Gurobi
16,4,4,1111001010100111,0.009998,-3.97,Gurobi
64,8,8,0000110100011000000110000000000000000011000000110000111000001111,0.096667,-6.13,Gurobi
