No. of Pixels,Height,Width,Result,Execution Time,Min-Cut Cost,Optimizer Method
4,2,2,0100,0.003012,-1.86,Gurobi
16,4,4,1100110111110111,0.009106,-2.56,Gurobi
64,8,8,1100001111111111111111111111111111111111111111111111111101111010,0.08541,-7.03,Gurobi
