No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
64,8,8,True,1111111111111111111111110000111100000010000000000010111111111111,529.331307,5,6.89,6.89,1209,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.148828,1,0.0,0.0,8,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.220153,2,0.0,0.0,15,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.979978,3,0.0,0.0,22,CG
64,8,8,False,0000010110101101011100001000000000000001000000000000000000010000,180.154158,4,15.31,13.42,892,CG
64,8,8,False,0010001000000010001011000010100011111110011111110111111101101010,170.525717,5,17.4,16.74,983,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.246973,1,0.0,0.0,8,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.182538,2,0.0,0.0,15,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,3.321743,3,0.0,0.0,22,BFGS
64,8,8,False,0000010110101101011100001100000000000001000000000000000000010000,141.153118,4,15.21,15.07,648,BFGS
64,8,8,False,0010001000000010001011100010000011111110011111110111111101101010,166.205945,5,16.35,16.74,984,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.543877,1,0.0,0.0,8,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.013028,2,0.0,0.0,15,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,4.968526,3,0.0,0.0,22,L-BFGS-B
64,8,8,True,0010010111111101011100001100000000000001000000000000000000010000,122.74021,4,13.19,15.71,638,L-BFGS-B
64,8,8,True,0010001000000010001011000010000011111110011111110111111101101010,204.118214,5,16.74,17.4,1044,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.292735,1,0.0,0.0,8,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.210474,2,0.0,0.0,15,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,3.272678,3,0.0,0.0,22,SLSQP
64,8,8,True,1110100100000001000111011000111111111111111111101111011011101111,20.027445,4,14.8,100000.0,118,SLSQP
64,8,8,True,0011110100000000000000000000000010000000111100101111111110011110,355.845945,5,3.81,3.81,817,SLSQP
