No. of Pixels,Height,Width,Result,Execution Time,Min-Cut Cost,Optimizer Method
4,2,2,1011,0.069543,-1.13,Gurobi
16,4,4,0000000000100000,0.010998,-1.54,Gurobi
64,8,8,1111111111011001111000001111010011010000111000100010111111111111,0.149951,-12.73,Gurobi
