No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,1111,4.290119,1,0.0,0.0,19,COBYLA
4,2,2,True,0000,8.849506,2,0.0,0.0,38,COBYLA
4,2,2,True,0100,14.245868,3,-1.86,-1.86,57,COBYLA
4,2,2,True,1011,18.539134,4,-1.86,-1.86,82,COBYLA
4,2,2,True,1011,7.091772,5,-1.86,-1.86,107,COBYLA
4,2,2,True,0000,2.260243,1,0.0,0.0,10,Powell
4,2,2,True,1011,36.262547,2,-1.86,-1.86,160,Powell
4,2,2,True,1011,86.475904,3,-1.86,-1.86,343,Powell
4,2,2,True,0100,107.34235,4,-1.86,-1.86,472,Powell
4,2,2,True,1011,155.282272,5,-1.86,-1.86,670,Powell
4,2,2,True,1111,0.889582,1,0.0,0.0,4,CG
4,2,2,True,0000,1.621893,2,0.0,0.0,7,CG
4,2,2,True,0100,0.640532,3,-1.86,-1.86,10,CG
4,2,2,True,1110,2.960848,4,0.04,0.04,13,CG
4,2,2,True,1010,3.719642,5,-0.08,-0.08,16,CG
4,2,2,True,1111,0.935439,1,0.0,0.0,4,BFGS
4,2,2,True,0000,0.481697,2,0.0,0.0,7,BFGS
4,2,2,True,0100,0.642385,3,-1.86,-1.86,10,BFGS
4,2,2,True,0100,0.845912,4,-1.86,-1.86,13,BFGS
4,2,2,True,1110,1.062528,5,0.04,0.04,16,BFGS
4,2,2,True,1111,1.017303,1,0.0,0.0,4,L-BFGS-B
4,2,2,True,0101,1.577606,2,-0.08,-0.08,7,L-BFGS-B
4,2,2,True,0100,0.665196,3,-1.86,-1.86,10,L-BFGS-B
4,2,2,True,1100,3.003722,4,0.12,0.12,13,L-BFGS-B
4,2,2,True,0110,1.043235,5,0.04,0.04,16,L-BFGS-B
4,2,2,True,1111,0.926213,1,0.0,0.0,4,SLSQP
4,2,2,True,0001,0.471719,2,0.04,0.04,7,SLSQP
4,2,2,True,0100,0.650882,3,-1.86,-1.86,10,SLSQP
4,2,2,True,0111,3.018429,4,0.0,0.0,13,SLSQP
4,2,2,True,0001,3.763658,5,0.04,0.04,16,SLSQP
16,4,4,True,0000000000000000,2.629002,1,0.0,0.0,31,COBYLA
16,4,4,True,0000000000000000,23.17339,2,0.0,0.0,61,COBYLA
16,4,4,True,1011101111110111,13.318828,3,-1.88,-1.88,153,COBYLA
16,4,4,True,1011101111110111,12.201499,4,-1.88,-0.36,137,COBYLA
16,4,4,True,0010001000000000,14.226125,5,-1.98,-1.98,165,COBYLA
16,4,4,True,1111111111111111,15.505892,1,0.0,0.0,56,Powell
16,4,4,True,1101010100111000,157.538112,2,0.33,0.33,575,Powell
16,4,4,True,0011001100001000,107.166058,3,-2.16,-2.16,648,Powell
16,4,4,True,0011001100000000,167.25527,4,-1.81,-1.81,1021,Powell
16,4,4,True,0100110111110111,379.863895,5,-2.14,-2.14,1407,Powell
16,4,4,True,0000000000000000,1.523019,1,0.0,0.0,6,CG
16,4,4,True,1111111110000000,2.921314,2,1.51,1.51,11,CG
16,4,4,True,0000111011110001,4.359439,3,4.86,4.86,16,CG
16,4,4,True,1100101011001111,209.326765,4,1.03,1.03,777,CG
16,4,4,False,1111011111000100,158.933735,5,3.38,3.38,584,CG
16,4,4,True,0000000000000000,0.504866,1,0.0,0.0,6,BFGS
16,4,4,True,1111111111111111,2.901061,2,0.0,0.0,11,BFGS
16,4,4,True,0011000100111110,4.300739,3,1.33,1.33,16,BFGS
16,4,4,True,0000101001011111,5.632895,4,5.35,5.35,21,BFGS
16,4,4,False,1001101110100011,188.511614,5,4.57,4.57,702,BFGS
16,4,4,True,0000000000000000,1.598272,1,0.0,0.0,6,L-BFGS-B
16,4,4,True,0000000011111111,2.887485,2,1.54,1.54,11,L-BFGS-B
16,4,4,False,0101000100011001,90.116715,3,1.27,1.27,336,L-BFGS-B
16,4,4,True,1111011101001011,5.618696,4,3.91,3.91,21,L-BFGS-B
16,4,4,True,1110111111111111,160.771888,5,1.17,3.27,598,L-BFGS-B
16,4,4,True,0000000000000000,5.749925,1,0.0,0.0,22,SLSQP
16,4,4,True,0000000000000000,2.951861,2,0.0,0.0,11,SLSQP
16,4,4,True,0000001001110000,11.234217,3,2.55,2.55,42,SLSQP
16,4,4,True,1001000011000110,5.627345,4,4.78,4.78,21,SLSQP
16,4,4,True,0010100011100001,7.020659,5,4.28,4.28,26,SLSQP
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,12.528466,1,0.0,0.0,43,COBYLA
64,8,8,True,1111111111111111111111111111111111111111111111111111111111111111,29.096078,2,0.0,0.0,91,COBYLA
64,8,8,True,0000000000000000000000000000000000000000000000000000000011101001,63.378694,3,0.07,0.07,203,COBYLA
64,8,8,True,1111101111001111111111110111011100111111110001111100000001111111,77.542509,4,9.38,9.38,240,COBYLA
64,8,8,True,0110000100011001000111110011110000001110111001110001000101100101,90.647628,5,12.63,12.63,279,COBYLA
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,3.120672,1,0.0,0.0,22,Powell
64,8,8,True,0000000000000000000000000000000000000000000000000000000000000000,56.071272,2,0.0,0.0,390,Powell
64,8,8,True,0000000101111111000000000000000000000000000000000000000111111101,92.335349,3,2.98,2.98,654,Powell
64,8,8,True,1101111111111111111111110110010000000000000000000000000000000000,199.318291,4,6.6,6.6,1375,Powell
64,8,8,True,0011110000001100000011110000001100001111111111111111111100000011,861.709075,5,4.23,4.23,5910,Powell
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.10847,1,0.0,0.0,8,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.106617,2,0.0,0.0,15,CG
64,8,8,False,0000000000100000000111111111010111111111111111110100000000000110,297.419013,3,14.11,13.43,475,CG
64,8,8,False,1111111011101001101000000100000000000000000000001110111101010110,79.50825,4,14.4,13.59,592,CG
64,8,8,False,0001000100100000101111111011111100001100000111000001100101000100,136.266074,5,17.4,19.11,984,CG
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.077874,1,0.0,0.0,8,BFGS
64,8,8,False,1111111111111111101101011000001000000000000010001111011111111101,46.616683,2,19.12,100000.0,357,BFGS
64,8,8,False,0000001111111100111111101111010011000011011111111100110000001011,270.578727,3,16.48,16.48,440,BFGS
64,8,8,False,1110110100001111000111101110000111110011000000001100000100011110,110.22829,4,19.66,19.66,793,BFGS
64,8,8,False,0100001100011010011000101001101100101110011000110101001000100010,136.770631,5,26.47,24.06,948,BFGS
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.08101,1,0.0,0.0,8,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,2.010068,2,0.0,0.0,15,L-BFGS-B
64,8,8,True,0000011001111111000000000111111111111001100000101111101000000000,418.409526,3,23.8,23.8,682,L-BFGS-B
64,8,8,True,0101111100000000001011101011111001111111000111010010111110111110,94.244378,4,15.23,14.93,667,L-BFGS-B
64,8,8,True,0011001001111110110011111011000000010001111011111100001100001100,98.076792,5,20.42,22.04,720,L-BFGS-B
64,8,8,False,0000000000000000000000000000000000000000000000000000000000000000,1.100208,1,0.0,0.0,8,SLSQP
64,8,8,True,1110111111101010100000000000000000000000000000000000000000000000,5.743751,2,7.75,100000.0,40,SLSQP
64,8,8,True,0111000001110000100011111111001111111111101111111000111110000011,47.987094,3,12.95,100000.0,65,SLSQP
64,8,8,True,0000110011000000111011101101111000001110111111110000110011111111,241.958062,4,18.25,18.25,905,SLSQP
64,8,8,True,0101101101101000011101111100110111111100111101100001110000010110,569.92203,5,21.53,21.53,1267,SLSQP
