No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,1001,0.101265,0.25,2.125,26,COBYLA
4,2,2,True,1001,0.017999,0.25,2.125,5,CG
4,2,2,True,1001,0.018,0.25,2.125,5,BFGS
4,2,2,True,1001,0.0202,0.25,2.125,5,L-BFGS-B
4,2,2,True,1001,0.016556,0.25,2.125,5,SLSQP
16,4,4,True,1001101110011001,1.738406,2.6,2.165,106,COBYLA
16,4,4,True,1001101110010001,0.259206,3.66,2.43,17,CG
16,4,4,True,1001101110010001,0.249865,3.66,2.43,17,BFGS
16,4,4,True,1001101110010001,0.250136,3.66,2.43,17,L-BFGS-B
16,4,4,True,1001101110010001,0.248913,3.66,2.43,17,SLSQP
4,2,2,True,0100,0.488797,-1.13,0.745,149,Powell
4,2,2,True,1001,0.228836,0.25,2.125,77,Nelder-Mead
4,2,2,True,0100,6.40832,-1.13,0.745,1984,Genetic
16,4,4,True,1111111111011001,11.121671,-1.11,1.2375,720,Powell
16,4,4,True,1001101110011001,3.654526,2.6,2.165,235,Nelder-Mead
16,4,4,True,1111111111011111,30.824611,-1.54,1.13,1983,Genetic
