No. of Pixels,Height,Width,Minimal Encoding Solver TTE,Minimal Encoding Solver Layers,Minimal Encoding Solver Min-Cut Cost,Minimal Encoding Solver Optimization Cost,Minimal Encoding Solver Iterations,Minimal Encoding Solver Optimizer Method,n,gurobi_tte,gurobi_min_cut_value
64,8,8,0.667351,2,-0,0,15,CG,64,0.3231,-24.7273
64,8,8,0.928177,3,-0,0,22,CG,64,0.3231,-24.7273
64,8,8,30.551787,4,12.09,100000,708,CG,64,0.3231,-24.7273
64,8,8,39.921568,5,17.77,100000,876,CG,64,0.3231,-24.7273
64,8,8,56.792158,6,13.48,-11.8743,1227,CG,64,0.3231,-24.7273
64,8,8,51.436393,7,22.51,3.531,1065,CG,64,0.3231,-24.7273
64,8,8,68.970131,8,20.71,-6.754,1377,CG,64,0.3231,-24.7273
64,8,8,64.16878,9,17.41,6.898,1292,CG,64,0.3231,-24.7273
64,8,8,101.915659,10,26.34,-4.8404,2001,CG,64,0.3231,-24.7273
64,8,8,0.347311,1,-0,0,8,BFGS,64,0.3231,-24.7273
64,8,8,0.613613,2,-0,0,15,BFGS,64,0.3231,-24.7273
64,8,8,1.119091,3,-0,0,22,BFGS,64,0.3231,-24.7273
64,8,8,30.285342,4,12.69,8.971,707,BFGS,64,0.3231,-24.7273
64,8,8,30.21371,5,20.5,-1.5909,659,BFGS,64,0.3231,-24.7273
64,8,8,36.046057,6,12.39,-9.8801,786,BFGS,64,0.3231,-24.7273
64,8,8,77.910559,7,22.23,2.8721,1621,BFGS,64,0.3231,-24.7273
64,8,8,123.799701,8,22.08,-7.4088,2466,BFGS,64,0.3231,-24.7273
64,8,8,108.58724,9,14.85,7.1524,2195,BFGS,64,0.3231,-24.7273
64,8,8,95.207761,10,22.8,-4.8101,1858,BFGS,64,0.3231,-24.7273
64,8,8,0.339193,1,-0,0,8,L-BFGS-B,64,0.3231,-24.7273
64,8,8,0.738155,2,-0,0,15,L-BFGS-B,64,0.3231,-24.7273
64,8,8,1.012541,3,-0,0,22,L-BFGS-B,64,0.3231,-24.7273
64,8,8,30.365149,4,14.39,10.7776,696,L-BFGS-B,64,0.3231,-24.7273
64,8,8,44.57109,5,19.27,100000,972,L-BFGS-B,64,0.3231,-24.7273
64,8,8,45.710129,6,15.78,-8.3655,989,L-BFGS-B,64,0.3231,-24.7273
64,8,8,86.033578,7,22.23,100000,1800,L-BFGS-B,64,0.3231,-24.7273
64,8,8,51.055334,8,23.09,-6.2422,1026,L-BFGS-B,64,0.3231,-24.7273
64,8,8,79.519843,9,17.41,10.1081,1600,L-BFGS-B,64,0.3231,-24.7273
64,8,8,75.121028,10,18.52,100000,1491,L-BFGS-B,64,0.3231,-24.7273
64,8,8,0.382027,1,-0,0,8,SLSQP,64,0.3231,-24.7273
64,8,8,0.6145,2,-0,0,15,SLSQP,64,0.3231,-24.7273
64,8,8,0.90494,3,-0,0,22,SLSQP,64,0.3231,-24.7273
64,8,8,5.484833,4,25.34,100000,118,SLSQP,64,0.3231,-24.7273
64,8,8,12.367104,5,25.19,100000,272,SLSQP,64,0.3231,-24.7273
64,8,8,191.724539,6,23.04,1.8231,3919,SLSQP,64,0.3231,-24.7273
64,8,8,58.613257,7,25.06,100000,1156,SLSQP,64,0.3231,-24.7273
64,8,8,131.778491,8,10.5,-21.122,2653,SLSQP,64,0.3231,-24.7273
64,8,8,56.419396,9,23.76,100000,1111,SLSQP,64,0.3231,-24.7273
64,8,8,491.121092,10,21.56,3.195,9458,SLSQP,64,0.3231,-24.7273
256,16,16,3.492563,1,-0,0,55,COBYLA,256,3.3085,-103.168
256,16,16,5.863047,2,-0,0,109,COBYLA,256,3.3085,-103.168
256,16,16,10.481915,3,-0,0,163,COBYLA,256,3.3085,-103.168
256,16,16,14.170145,4,-0,0,217,COBYLA,256,3.3085,-103.168
256,16,16,17.30424,5,-0,0,271,COBYLA,256,3.3085,-103.168
256,16,16,21.141558,6,-0,0,325,COBYLA,256,3.3085,-103.168
256,16,16,27.739963,7,101.1,100.0,419,COBYLA,256,3.3085,-103.168
256,16,16,29.026945,8,-0,0,433,COBYLA,256,3.3085,-103.168
256,16,16,33.095409,9,-0,0,487,COBYLA,256,3.3085,-103.168
256,16,16,39.401059,10,84.42,100.0,567,COBYLA,256,3.3085,-103.168
256,16,16,71.405648,11,82.78,100.0,861,COBYLA,256,3.3085,-103.168
256,16,16,89.83631,12,86.08,100.0,1121,COBYLA,256,3.3085,-103.168
256,16,16,82.185218,13,92.22,100.0,986,COBYLA,256,3.3085,-103.168
256,16,16,108.865023,14,85.06,100.0,1336,COBYLA,256,3.3085,-103.168
256,16,16,151.552278,15,75.96,100.0,1708,COBYLA,256,3.3085,-103.168
256,16,16,127.175551,16,78.91,100.0,1254,COBYLA,256,3.3085,-103.168
256,16,16,139.76568,17,77.05,100.0,1695,COBYLA,256,3.3085,-103.168
256,16,16,105.777364,18,87.53,100.0,1220,COBYLA,256,3.3085,-103.168
256,16,16,199.38976,19,85.86,100.0,2095,COBYLA,256,3.3085,-103.168
256,16,16,162.08373,20,92.14,100.0,1856,COBYLA,256,3.3085,-103.168
256,16,16,220.208771,21,75.87,100.0,2408,COBYLA,256,3.3085,-103.168
256,16,16,185.090643,22,99.5,100.0,1993,COBYLA,256,3.3085,-103.168
256,16,16,198.253547,23,84.29,-19.0584,1844,COBYLA,256,3.3085,-103.168
256,16,16,145.388204,24,85.15,100.0,1437,COBYLA,256,3.3085,-103.168
256,16,16,230.34192,25,96.62,100.0,2336,COBYLA,256,3.3085,-103.168
256,16,16,251.603326,26,83.84,5.7411,2509,COBYLA,256,3.3085,-103.168
256,16,16,261.373727,27,95.64,100.0,2520,COBYLA,256,3.3085,-103.168
256,16,16,238.127668,28,76.77,-41.3737,2114,COBYLA,256,3.3085,-103.168
256,16,16,316.882067,29,66.61,100.0,2863,COBYLA,256,3.3085,-103.168
256,16,16,326.943056,30,76.0,100.0,2925,COBYLA,256,3.3085,-103.168
256,16,16,1.796374,1,-0,0,28,Powell,256,3.3085,-103.168
256,16,16,2.925161,2,-0,0,55,Powell,256,3.3085,-103.168
256,16,16,5.508961,3,-0,0,82,Powell,256,3.3085,-103.168
256,16,16,7.10845,4,-0,0,109,Powell,256,3.3085,-103.168
256,16,16,8.616828,5,-0,0,136,Powell,256,3.3085,-103.168
256,16,16,10.418931,6,-0,0,163,Powell,256,3.3085,-103.168
256,16,16,13.251523,7,-0,0,190,Powell,256,3.3085,-103.168
256,16,16,26.908042,8,87.66,100000,382,Powell,256,3.3085,-103.168
256,16,16,26.15163,9,77.53,100000,374,Powell,256,3.3085,-103.168
256,16,16,42.835458,10,92.06,100000,601,Powell,256,3.3085,-103.168
256,16,16,0.777569,1,-0,0,10,L-BFGS-B,256,3.3085,-103.168
256,16,16,1.05935,2,-0,0,19,L-BFGS-B,256,3.3085,-103.168
256,16,16,1.732676,3,-0,0,28,L-BFGS-B,256,3.3085,-103.168
256,16,16,2.436361,4,-0,0,37,L-BFGS-B,256,3.3085,-103.168
256,16,16,2.944605,5,-0,0,46,L-BFGS-B,256,3.3085,-103.168
256,16,16,3.561315,6,-0,0,55,L-BFGS-B,256,3.3085,-103.168
256,16,16,4.221725,7,-0,0,64,L-BFGS-B,256,3.3085,-103.168
256,16,16,4.823985,8,-0,0,73,L-BFGS-B,256,3.3085,-103.168
256,16,16,5.511641,9,-0,0,82,L-BFGS-B,256,3.3085,-103.168
256,16,16,6.138959,10,-0,0,91,L-BFGS-B,256,3.3085,-103.168
256,16,16,0.65944,1,-0,0,10,SLSQP,256,3.3085,-103.168
256,16,16,0.971951,2,-0,0,19,SLSQP,256,3.3085,-103.168
256,16,16,2.039345,3,-0,0,28,SLSQP,256,3.3085,-103.168
256,16,16,2.327176,4,-0,0,37,SLSQP,256,3.3085,-103.168
256,16,16,2.955089,5,-0,0,46,SLSQP,256,3.3085,-103.168
256,16,16,3.623131,6,-0,0,55,SLSQP,256,3.3085,-103.168
256,16,16,4.73879,7,-0,0,64,SLSQP,256,3.3085,-103.168
256,16,16,4.705061,8,-0,0,73,SLSQP,256,3.3085,-103.168
256,16,16,5.669073,9,-0,0,82,SLSQP,256,3.3085,-103.168
256,16,16,6.418486,10,-0,0,91,SLSQP,256,3.3085,-103.168
1024,32,32,3.550144,1,0,0,67,COBYLA,1024,66.9245,-391.9561
1024,32,32,6.277173,2,0,0,133,COBYLA,1024,66.9245,-391.9561
1024,32,32,9.669311,3,0,0,199,COBYLA,1024,66.9245,-391.9561
1024,32,32,12.969229,4,0,0,265,COBYLA,1024,66.9245,-391.9561
1024,32,32,17.065041,5,0,0,331,COBYLA,1024,66.9245,-391.9561
1024,32,32,23.499835,6,0,0,397,COBYLA,1024,66.9245,-391.9561
1024,32,32,23.900094,7,0,0,463,COBYLA,1024,66.9245,-391.9561
1024,32,32,27.750037,8,0,0,529,COBYLA,1024,66.9245,-391.9561
1024,32,32,32.499964,9,0,0,595,COBYLA,1024,66.9245,-391.9561
1024,32,32,36.839179,10,0,0,661,COBYLA,1024,66.9245,-391.9561
