No. of Pixels,Height,Width,Minimal Encoding Solver TTE,Minimal Encoding Solver Layers,Minimal Encoding Solver Min-Cut Cost,Minimal Encoding Solver Optimization Cost,Minimal Encoding Solver Iterations,Minimal Encoding Solver Optimizer Method,n,gurobi_tte,gurobi_min_cut_value
64,8,8,2.452836,1,-0,0,43,COBYLA,64,0.3231,-24.7273
64,8,8,3.824714,2,-0,0,85,COBYLA,64,0.3231,-24.7273
64,8,8,10.958175,3,0.97,100000.0,242,COBYLA,64,0.3231,-24.7273
64,8,8,12.486511,4,8.87,-34.3474,269,COBYLA,64,0.3231,-24.7273
64,8,8,21.247355,5,4.4,-41.9743,449,COBYLA,64,0.3231,-24.7273
64,8,8,19.747433,6,2.54,-43.2938,414,COBYLA,64,0.3231,-24.7273
64,8,8,30.073567,7,6.59,100000.0,610,COBYLA,64,0.3231,-24.7273
64,8,8,29.143761,8,3.7,-48.2955,583,COBYLA,64,0.3231,-24.7273
64,8,8,38.377515,9,7.68,-39.3451,751,COBYLA,64,0.3231,-24.7273
64,8,8,31.763359,10,4.99,-38.4588,614,COBYLA,64,0.3231,-24.7273
64,8,8,0.857618,1,-0,0,22,Powell,64,0.3231,-24.7273
64,8,8,2.051235,2,-0,0,43,Powell,64,0.3231,-24.7273
64,8,8,42.118593,3,5.17,-38.4868,945,Powell,64,0.3231,-24.7273
64,8,8,74.975663,4,10.98,-40.477,1642,Powell,64,0.3231,-24.7273
64,8,8,74.509758,5,12.2,-31.0379,1582,Powell,64,0.3231,-24.7273
64,8,8,61.07779,6,8.78,-30.5003,1276,Powell,64,0.3231,-24.7273
64,8,8,78.886578,7,11.14,-19.2686,1625,Powell,64,0.3231,-24.7273
64,8,8,137.506358,8,17.48,7.7447,2779,Powell,64,0.3231,-24.7273
64,8,8,113.333026,9,16.41,-21.2953,2244,Powell,64,0.3231,-24.7273
64,8,8,247.812039,10,13.69,-17.1731,4799,Powell,64,0.3231,-24.7273
64,8,8,0.397719,1,-0,0,8,CG,64,0.3231,-24.7273
