No. of Pixels,Height,Width,Result,Execution Time,Min-Cut Cost,Optimizer Method
4,2,2,0011,0.002982,-1.2,Gurobi
16,4,4,1111000000110111,0.0091,-2.19,Gurobi
64,8,8,1111001100110111001101110111111100010110011111110111011101111111,0.095579,-8.69,Gurobi
