No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,1101,0.084421,0.15,1.73,26,COBYLA
4,2,2,True,1001,0.014998,0.84,2.42,5,CG
4,2,2,True,1001,0.015066,0.84,2.42,5,BFGS
4,2,2,True,1001,0.01601,0.84,2.42,5,L-BFGS-B
4,2,2,True,1001,0.016001,0.84,2.42,5,SLSQP
16,4,4,True,1101101111011001,1.814034,5.07,2.96,106,COBYLA
16,4,4,True,1001101110010001,0.290377,7.64,3.6025,17,CG
16,4,4,True,1001101110010001,0.269574,7.64,3.6025,17,BFGS
16,4,4,True,1001101110010001,0.275086,7.64,3.6025,17,L-BFGS-B
16,4,4,True,1001101110010001,0.273498,7.64,3.6025,17,SLSQP
4,2,2,True,0011,0.278021,-1.2,0.38,95,Powell
4,2,2,True,1001,0.205279,0.84,2.42,77,Nelder-Mead
4,2,2,True,0011,5.624882,-1.2,0.38,1917,Genetic
16,4,4,True,0011111111001000,5.843008,-2.11,1.165,360,Powell
16,4,4,True,1001101110011001,3.864738,7.03,3.45,235,Nelder-Mead
16,4,4,True,1111000000110111,30.695389,-2.19,1.145,1917,Genetic
