No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,0000,1.82736,1,0.0,0.0,19,COBYLA
4,2,2,True,1011,2.672126,2,-1.13,-1.13,40,COBYLA
4,2,2,True,1011,4.306345,3,-1.13,-1.13,64,COBYLA
4,2,2,True,1110,6.711887,4,-1.13,-1.13,79,COBYLA
4,2,2,True,0100,6.47479,5,-1.13,-1.13,93,COBYLA
4,2,2,True,1111,0.633841,1,0.0,0.0,10,Powell
4,2,2,True,1011,9.467849,2,-1.13,-1.13,144,Powell
4,2,2,True,1011,8.31524,3,-1.13,-1.13,124,Powell
4,2,2,True,0100,45.330336,4,-1.13,-1.13,554,Powell
4,2,2,True,1011,46.702795,5,-1.13,-1.13,691,Powell
4,2,2,True,0000,0.293531,1,0.0,0.0,4,CG
4,2,2,True,0101,0.503252,2,0.23,0.23,7,CG
4,2,2,True,1110,0.662153,3,-0.6,-0.6,10,CG
4,2,2,True,1100,0.942679,4,0.02,0.02,13,CG
4,2,2,True,0110,1.066701,5,0.25,0.25,16,CG
4,2,2,True,0000,0.250166,1,0.0,0.0,4,BFGS
4,2,2,True,0000,0.455481,2,0.0,0.0,7,BFGS
4,2,2,True,1011,0.68328,3,-1.13,-1.13,10,BFGS
4,2,2,True,0100,0.847265,4,-1.13,-1.13,13,BFGS
4,2,2,True,1110,1.066045,5,-0.6,-0.6,16,BFGS
4,2,2,True,0000,0.254277,1,0.0,0.0,4,L-BFGS-B
4,2,2,True,0101,0.460364,2,0.23,0.23,7,L-BFGS-B
4,2,2,True,1011,0.667195,3,-1.13,-1.13,10,L-BFGS-B
4,2,2,True,1100,0.897869,4,0.02,0.02,13,L-BFGS-B
4,2,2,True,0110,1.059935,5,0.25,0.25,16,L-BFGS-B
4,2,2,True,0000,0.257092,1,0.0,0.0,4,SLSQP
4,2,2,True,0101,0.452781,2,0.23,0.23,7,SLSQP
4,2,2,True,1011,0.6673,3,-1.13,-1.13,10,SLSQP
4,2,2,True,1100,0.898234,4,0.02,0.02,13,SLSQP
4,2,2,True,0110,1.048322,5,0.25,0.25,16,SLSQP
16,4,4,True,1111111111111111,2.69047,1,0.0,0.0,31,COBYLA
16,4,4,True,0000000000000000,5.23528,2,0.0,0.0,63,COBYLA
16,4,4,True,0000000000000000,8.482442,3,0.0,0.0,100,COBYLA
16,4,4,True,1111111111111111,12.03474,4,0.0,0.0,137,COBYLA
16,4,4,True,1111111111011111,14.756959,5,-1.54,-1.54,168,COBYLA
16,4,4,True,0000000000000000,3.658964,1,0.0,0.0,44,Powell
16,4,4,True,0000000000100000,24.221861,2,-1.54,0.0,285,Powell
16,4,4,True,0000000000100000,88.22984,3,-1.54,-1.54,1046,Powell
16,4,4,True,0000000000101110,76.510528,4,-0.05,-0.05,908,Powell
16,4,4,True,0000000000100000,270.173713,5,-1.54,-1.54,3115,Powell
16,4,4,True,0000000000000000,0.527446,1,0.0,0.0,6,CG
16,4,4,True,1111111111111111,1.040553,2,0.0,0.0,11,CG
16,4,4,False,0111111011000110,19.466308,3,1.95,4.44,224,CG
16,4,4,True,0000011011110000,1.79266,4,7.27,7.27,21,CG
16,4,4,True,1001100111001111,2.265473,5,4.83,4.83,26,CG
16,4,4,False,0000000000000000,0.535551,1,0.0,0.0,6,BFGS
16,4,4,True,1111111100000000,1.099771,2,1.67,1.67,11,BFGS
16,4,4,True,1111000010100000,1.642485,3,3.65,3.65,16,BFGS
16,4,4,True,1111000110100000,1.799736,4,4.39,4.39,21,BFGS
16,4,4,False,0000100100000100,45.126724,5,5.52,5.65,520,BFGS
16,4,4,True,0000000000000000,0.529984,1,0.0,0.0,6,L-BFGS-B
16,4,4,True,1111111100000000,23.303674,2,1.67,1.67,253,L-BFGS-B
16,4,4,True,1111000010100000,1.490683,3,3.65,3.65,16,L-BFGS-B
16,4,4,True,1001011100110100,1.916782,4,6.86,6.86,21,L-BFGS-B
16,4,4,False,0101000011101110,47.959546,5,3.66,6.13,546,L-BFGS-B
16,4,4,False,0000000000000000,0.534635,1,0.0,0.0,6,SLSQP
16,4,4,True,1111111111111111,2.710949,2,0.0,5.53,32,SLSQP
16,4,4,True,1111000010100000,1.593622,3,3.65,3.65,16,SLSQP
