No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,1001,0.088107,0.04,2.02,26,COBYLA
4,2,2,True,1001,0.192872,0.04,2.02,5,CG
4,2,2,True,1001,0.023025,0.04,2.02,5,BFGS
4,2,2,True,1001,0.022896,0.04,2.02,5,L-BFGS-B
4,2,2,True,1001,0.01783,0.04,2.02,5,SLSQP
16,4,4,True,1001101110011001,1.838824,2.21,2.5837,105,COBYLA
16,4,4,True,1001101110010001,0.284189,2.76,2.7212,17,CG
16,4,4,True,1001101110010001,0.289171,2.76,2.7212,17,BFGS
16,4,4,True,1001101110010001,0.285195,2.76,2.7212,17,L-BFGS-B
16,4,4,True,1001101110010001,0.27226,2.76,2.7212,17,SLSQP
4,2,2,True,0100,0.320094,-1.86,0.12,101,Powell
4,2,2,True,1001,0.382941,0.04,2.02,77,Nelder-Mead
4,2,2,True,0100,6.20391,-1.86,0.12,1993,Genetic
16,4,4,True,1011101010001000,9.763218,-2.07,1.5138,599,Powell
16,4,4,True,1001101110011001,3.881658,2.21,2.5837,235,Nelder-Mead
16,4,4,True,1100110111110111,30.695019,-2.56,1.3912,1929,Genetic
