No. of Pixels,Height,Width,Optimization Success,Result,Execution Time,Layers,Min-Cut Cost,Optimization Cost,Iterations,Optimizer Method
4,2,2,True,0000,1.338599,1,0.0,0.0,19,COBYLA
4,2,2,True,0000,2.632493,2,0.0,0.0,39,COBYLA
4,2,2,True,0011,3.996019,3,-1.2,-1.2,58,COBYLA
4,2,2,True,1100,5.776525,4,-1.2,-1.2,82,COBYLA
4,2,2,True,1100,6.36028,5,-1.2,-1.2,92,COBYLA
4,2,2,True,0000,0.671501,1,0.0,0.0,10,Powell
4,2,2,True,0011,2.75686,2,-1.2,-1.2,38,Powell
4,2,2,True,0011,7.620811,3,-1.2,-1.2,113,Powell
4,2,2,True,1100,85.215342,4,-1.2,-1.2,372,Powell
4,2,2,True,1100,34.715548,5,-1.2,-1.2,500,Powell
4,2,2,True,1111,0.279375,1,0.0,0.0,4,CG
4,2,2,True,0000,0.47655,2,0.0,0.0,7,CG
4,2,2,True,0011,0.758478,3,-1.2,-1.2,10,CG
4,2,2,True,1101,0.846686,4,0.15,0.15,13,CG
4,2,2,True,1100,1.06931,5,-1.2,-1.2,16,CG
4,2,2,True,0000,0.268452,1,0.0,0.0,4,BFGS
4,2,2,True,1100,0.475582,2,-1.2,-1.2,7,BFGS
4,2,2,True,0011,0.657939,3,-1.2,-1.2,10,BFGS
4,2,2,True,0100,0.853247,4,0.69,0.69,13,BFGS
4,2,2,True,1100,1.086844,5,-1.2,-1.2,16,BFGS
4,2,2,True,1111,0.280335,1,0.0,0.0,4,L-BFGS-B
4,2,2,True,1100,0.47423,2,-1.2,-1.2,7,L-BFGS-B
4,2,2,True,0011,0.672656,3,-1.2,-1.2,10,L-BFGS-B
4,2,2,True,0001,0.882452,4,0.69,0.69,13,L-BFGS-B
4,2,2,True,1100,1.067561,5,-1.2,-1.2,16,L-BFGS-B
4,2,2,True,1111,0.286976,1,0.0,0.0,4,SLSQP
4,2,2,True,0011,0.475885,2,-1.2,-1.2,7,SLSQP
4,2,2,True,0011,0.626869,3,-1.2,-1.2,10,SLSQP
4,2,2,True,0010,0.864735,4,0.15,0.15,13,SLSQP
4,2,2,True,1100,1.056076,5,-1.2,-1.2,16,SLSQP
16,4,4,True,0000000000000000,6.252271,1,0.0,0.0,32,COBYLA
16,4,4,True,0000000000000000,23.141893,2,0.0,0.0,62,COBYLA
16,4,4,True,1111001100000000,9.156974,3,-1.61,-1.61,110,COBYLA
16,4,4,True,1111111111001000,26.905141,4,-1.07,-1.07,138,COBYLA
16,4,4,True,1111001100000000,15.786219,5,-1.61,-1.61,183,COBYLA
16,4,4,True,0000000000000000,7.699739,1,0.0,0.0,42,Powell
16,4,4,True,1111001100000000,95.036445,2,-1.61,-1.0,1130,Powell
16,4,4,True,1111001100000000,54.75908,3,-1.61,-1.61,636,Powell
16,4,4,True,0000111111001000,112.037755,4,-2.19,-0.06,1283,Powell
16,4,4,True,0000110011111111,235.188387,5,-1.61,2.06,2678,Powell
16,4,4,True,0000000000000000,0.50638,1,0.0,0.0,6,CG
16,4,4,True,1111000011110000,0.970285,2,1.51,1.51,11,CG
